WO-MRR NUM,IS REWORK,PROD_CDE,HOURS BLAST TO PREP,PREP DAY,PREP SHIFT,PREP H,PREP QTY,PREP ASSOCIATE,PREP QTY IN THE SHIFT,PREPED IN THE SHIFT SO FAR,HOURS PREP TO FUR,FURN,HAS SCRAP AT SINTER,ASSOCIATE AXPERIENCE,Prep week,Has MRR
9667923-,0,PINN_PORO,288,7,2,8,10,152861369,110,70,0,FURN0006,1,2,1,0
9667926-,0,PINN_PORO,144,5,2,4,10,152859275,40,10,0,FURN0004,0,0,1,0
9667940-,0,PINN_PORO,24,5,2,9,10,152861369,93,81,72,FURN0006,0,2,1,1
9667970-,0,PINN_PORO,0,1,2,7,10,152059403,70,40,72,FURN0006,0,2,1,0
9667977-,0,PINN_PORO,24,1,2,9,10,152834263,99,79,48,FURN0004,0,2,1,0
9667981-,0,PINN_PORO,96,1,2,2,10,152061442,119,19,24,FURN0006,0,2,1,0
9667983-,0,PINN_PORO,144,5,1,20,10,152834263,70,60,24,FURN0006,0,2,1,0
9667988-,0,PIN_GRIP_P,360,2,2,9,10,152051910,99,79,0,FURN0007,0,2,1,1
9667988-1431068,1,PIN_GRIP_P,408,4,1,19,1,152051910,117,63,24,FURN0007,0,2,1,1
9667990-,0,PINN_PORO,24,1,2,1,9,152061442,119,10,24,FURN0006,0,2,1,0
9667992-1430691,1,PINN_PORO,168,3,2,4,1,152861369,52,20,0,FURN0006,0,2,1,1
9667995-,0,PINN_PORO,120,1,2,0,10,152061442,119,0,0,FURN0004,0,2,1,0
9668818-,0,PIN_GRIP_P,96,1,2,10,10,152827348,100,80,48,FURN0007,0,2,1,0
9668824-,0,PIN_GRIP_P,96,1,2,0,10,152051910,100,0,0,FURN0007,0,2,1,0
9668831-1429952,1,PIN_GRIP_P,336,2,2,4,2,152827348,115,34,0,FURN0007,0,2,1,1
9668832-,0,PIN_GRIP_P,384,4,2,1,10,152824994,91,0,0,FURN0007,0,2,1,0
9668839-1430188,1,GUIMST_P,144,1,1,13,1,152872563,28,0,24,FURN0004,0,1,1,1
9669245-,0,PIN_GRIP_P,192,4,1,16,10,152827348,110,30,24,FURN0007,0,2,1,0
9669251-,0,PIN_GRIP_P,384,4,1,16,10,152051910,117,30,24,FURN0007,0,2,1,0
9669263-1430792,1,PIN_GRIP_P,360,4,1,21,1,152051910,117,75,72,FURN0007,0,2,1,1
9669264-,0,PIN_GRIP_P,432,6,2,9,10,152072361,50,40,24,FURN0007,0,2,1,0
9669267-,0,PIN_GRIP_P,408,5,1,20,10,152827348,71,62,48,FURN0007,0,2,1,0
9669274-,0,PIN_GRIP_P,408,5,1,14,10,152827348,71,12,24,FURN0007,0,2,1,1
9669277-,0,PIN_GRIP_P,408,5,1,19,10,152827348,71,42,24,FURN0007,0,2,1,0
9669281-,0,PIN_GRIP_P,192,4,1,17,10,152827348,110,50,24,FURN0007,0,2,1,0
9669357-,0,PIN_GRIP_P,72,4,2,11,10,152054287,92,82,24,FURN0007,0,2,1,0
9669360-,0,PIN_GRIP_P,72,3,2,4,10,152054287,20,10,0,FURN0007,0,2,1,0
9669362-,0,PIN_GRIP_P,72,4,2,7,10,152054287,92,52,24,FURN0007,0,2,1,0
9669371-,0,PIN_GRIP_P,24,5,2,1,10,152054287,90,0,0,FURN0007,0,2,1,0
9669373-,0,PIN_GRIP_P,72,4,2,6,10,152824994,91,40,0,FURN0007,0,2,1,0
9669377-1430858,1,PIN_GRIP_P,360,4,2,4,2,152054287,92,30,24,FURN0007,0,2,1,1
9669386-,0,PIN_GRIP_P,72,4,1,13,10,152051910,117,0,24,FURN0007,0,2,1,0
9669387-,0,PIN_GRIP_P,96,1,1,13,10,152072361,100,0,0,FURN0007,0,2,1,0
9669391-,0,PIN_GRIP_P,120,1,1,15,10,152072361,100,20,0,FURN0007,0,2,1,0
9669393-,0,PIN_GRIP_P,192,4,2,7,10,152824994,91,50,24,FURN0007,0,2,1,0
9669395-,0,PIN_GRIP_P,96,1,1,16,10,152072361,100,30,0,FURN0007,0,2,1,0
9669396-,0,PIN_GRIP_P,192,4,2,4,10,152824994,91,30,0,FURN0007,0,2,1,0
9669397-,0,PIN_GRIP_P,216,5,2,8,10,152824994,100,50,0,FURN0007,0,2,1,0
9669398-,0,PIN_GRIP_P,24,3,1,19,10,152072361,100,50,24,FURN0007,0,2,1,1
9669399-,0,PIN_GRIP_P,0,3,1,16,10,152072361,100,30,24,FURN0007,0,2,1,0
9669403-,0,PIN_GRIP_P,120,6,2,5,10,152824994,70,30,0,FURN0007,0,2,1,0
9669405-,0,PIN_GRIP_P,168,3,1,20,10,152072361,100,60,24,FURN0007,0,2,1,0
9669406-,0,PIN_GRIP_P,288,1,1,21,10,152072361,100,70,24,FURN0007,0,2,1,0
9669408-,0,PIN_GRIP_P,96,1,1,23,10,152072361,100,90,24,FURN0007,0,2,1,0
9669411-,0,PIN_GRIP_P,216,5,2,10,10,152824994,100,70,48,FURN0007,0,2,1,0
9669413-,0,PIN_GRIP_P,120,1,1,20,10,152072361,100,60,24,FURN0007,0,2,1,1
9669419-,0,PIN_GRIP_P,192,2,2,1,10,152051910,99,0,0,FURN0007,0,2,1,0
9669422-,0,PIN_GRIP_P,360,4,1,22,10,152827348,110,80,24,FURN0007,0,2,1,0
9669423-,0,PIN_GRIP_P,120,2,2,3,10,152051910,99,19,0,FURN0007,0,2,1,0
9669426-1430948,1,PIN_GRIP_P,192,4,1,22,1,152051910,117,97,72,FURN0007,0,2,1,1
9669427-,0,PIN_GRIP_P,360,4,1,19,10,152827348,110,60,24,FURN0007,0,2,1,0
9669433-,0,PIN_GRIP_P,48,1,2,7,10,152827348,100,50,24,FURN0007,1,2,1,0
9669436-,0,PIN_GRIP_P,0,4,1,17,10,152051910,117,40,24,FURN0007,0,2,1,0
9669437-1429951,1,PIN_GRIP_P,384,4,2,10,2,152065732,84,70,24,FURN0007,0,2,1,1
9669438-,0,PIN_GRIP_P,72,4,2,11,10,152065732,84,74,24,FURN0007,0,2,1,0
9669439-,0,PIN_GRIP_P,192,5,2,3,10,152065732,90,20,0,FURN0007,0,2,1,0
9669442-,0,PIN_GRIP_P,288,1,2,8,10,152827348,100,60,24,FURN0007,0,2,1,0
9669447-1429953,1,PIN_GRIP_P,336,3,2,0,2,152065732,46,4,0,FURN0007,0,2,1,1
9669448-1429955,1,PIN_GRIP_P,336,3,2,0,3,152065732,46,1,0,FURN0007,0,2,1,1
9669620-1430229,1,SUMMIT_P,,1,2,9,1,152863741,41,36,0,FURN0004,0,1,1,1
9669638-1429988,1,SUMMIT_P,,3,2,0,1,152806978,23,1,24,FURN0004,0,2,1,1
9669679-,0,GU_AN10_B,216,4,1,23,17,152852517,64,36,24,FURN0006,1,2,1,0
9669681-,0,GU_AN10_B,72,4,1,21,17,152852517,64,0,96,FURN0006,0,2,1,0
9669683-,0,GU_AN10_B,48,7,2,3,17,152852517,17,0,24,FURN0006,0,2,1,0
9671666-,0,PIN_GRIP_P,168,4,1,15,10,152051910,117,20,24,FURN0007,0,2,1,1
9671667-,0,PIN_GRIP_P,96,1,2,1,10,152827348,100,0,24,FURN0007,0,2,1,0
9671668-,0,PIN_GRIP_P,24,2,2,6,10,152051910,99,39,0,FURN0007,1,2,1,0
9671669-,0,PIN_GRIP_P,72,2,2,0,10,152827348,115,0,0,FURN0007,0,2,1,0
9671670-,0,PIN_GRIP_P,96,1,2,4,10,152827348,100,30,0,FURN0007,0,2,1,0
9671671-,0,PIN_GRIP_P,144,2,2,6,10,152827348,115,56,0,FURN0007,0,2,1,1
9671671-1431072,1,PIN_GRIP_P,240,6,1,23,2,152827348,2,0,72,FURN0007,0,2,1,1
